id,score,title,report
kanz****,6,브이 포 벤데타, 개연성이..? 초반은 흥미로운데 후반까지 잘 끌고 가진 못한다
seul****,10,로켓맨, 아니 볼라고하는데 상영관 왜이리 없나요 ㅡㅡ
jaym****,10,기생충, 말로 표현할 수 없는 묘한 긴장감
cali****,10,마녀 배달부 키키, 재밌다. 세글자면 되는데요.
dugm****,3,기생충, 잔인하고 걍글이다....마지막 결말이 충격적인 영화
kanz****,9,인셉션, 고민하지 말고 봐라. 일단 무조건 재밌다.
ymsg****,10,싸리골의 신화, 갓 싸리골의 신화 끝났다!!
engi****,1,기생충, 현실을 반영단다고 하기엔 영화적 표현과 과장에  그리 공감하지 못하겠다
llre****,10,알라딘, 지니 나올때 샘 오취리 닮았다고 생각했는데 끝날 때 까지 샘 오취리 생각 뿐이였어요...
affa****,10,매디슨 카운티의 다리, 몇번이고 다시봐도 명작입니다
pdp2****,9,맨 인 블랙: 인터내셔널, 그냥 한마디로 개웃김 ㅋ
seon****,10,어벤져스: 엔드게임, 역쉬~~~라는게 절로 나오는 영화였어요
kc2v****,10,맨 인 블랙: 인터내셔널, 잘만들었네요~ 토르 좋아유~
plan****,10,러브 라이브! 선샤인!! 더 스쿨 아이돌 무비 오버 더 레인보우, 안봤는데 야갤이들이 존나 엿같아서 10점준다
rudg****,10,로켓맨, 엘튼존 개인의 서사
powe****,10,기생충, 보고 나와서 남들에게 스포없이 설명할때 장르를 말할수가 없는 영화....장르: 봉준호
blue****,10,맨 인 블랙: 인터내셔널, 이런 망영화 나만 볼 수 없져! 꼭 보세여!!
redm****,10,세상을 바꾼 변호인, &amp;#39;히든 피겨스&amp;#39; 이후 또 한번 미국에서의 차별을 다룬 영화. 한마디 한마디가 명대사인 법정 장면에
roka****,2,맨 인 블랙: 인터내셔널, 보는 내내 시간 가는 줄 알았다
tkdg****,10,혐오스런 마츠코의 일생, 이런 영화가 있었다니... 포스터만보고 병맛일거란 생각으로 피하고 피하다가 진짜 더 이상 볼영화가없어서 아무생각없이 밥먹으면서 틀어본영화... 진짜 명작이다 진짜...기분이 너무 이상하다.... 
bumy****,1,맨 인 블랙: 인터내셔널, 요즘시대에 이런 영화를 만들다니
kari****,10,어벤져스: 엔드게임, 마블이 할 수 있었던 14
obey****,10,헬보이, 적당히 고어스러운게 딱 내 취향.
r4ky****,10,맨 인 블랙: 인터내셔널, 정말 재밌게봄.. 생각없이 보기 딱 좋은 영화&amp;#39;
y3wn****,10,맨 인 블랙: 인터내셔널, 핵꿀잼 ㅋㅋ배꼽 떨어질지도모름^^
vqhc****,10,맨 인 블랙: 인터내셔널, 아주 잘봤습니다^^ 꼭! 보세요!
